COD,DESCRICAO,PRECO_PADRAO_DE,PRECO_DIRIGIDA_POR,OBS_X,PLACEMENT_Y,COMPRADOR
204209.0,ARROZ PICININ TIPO 1 5KG,19.99,14.99,,FRENTE,CARLOS ROBERTO PINTO
10938.0,FEIJAO ZAMUNER CARIOCA 1KG,6.99,6.49,,,MIZAEL CORREA DA SILVA
32093.0,LEITE LIDER INTEGRAL 1L,4.19,2.99,limite 24 unidades,DESTAQUE,LUIS EDUARDO DOS SANTOS GONCALVES
940139.0,CAFE 3 CORACOES TRADICIONAL 500G,34.99,29.99,,FRENTE,RAFAEL JOSE MESSIAS COSTA
872.0,CARNE BOV.COXAO MOLE KG GRN,45.99,36.99,,DESTAQUE,GERSON EDUARDO STEFANI
2036.0,CARNE BOV.MIOLO ALCATRA KG GRN,55.99,49.99,junto 1599,FRENTE,LUIS EDUARDO DOS SANTOS GONCALVES
1599.0,CONTRA FILE SUL BEEF BOVINO PORCIONADO KG,55.99,49.99,junto 2036,FRENTE,WELITON TREVISAN MIRANDA
3953.0,CARNE BOV.COSTELA KG GRN,26.99,23.99,,FRENTE,CARLOS ROBERTO PINTO
2900.0,CARNE BOV.ACEM KG GRN,38.99,33.99,,FRENTE,MIZAEL CORREA DA SILVA
4776.0,COXA E SOBRECOXA DE FRANGO KG GRN,12.99,8.49,junto 2432,FRENTE,CARLOS ROBERTO PINTO
2432.0,COXA E SOBRECOXA DE FRANGO KG,12.99,8.49,junto 4776,FRENTE,OTAVIO FELIPE DE OLIVEIRA E SILVA
4720.0,PEITO DE FRANGO S/OSSO KG GRN,21.99,18.99,junto 4642/3234/2428,FRENTE,MIZAEL CORREA DA SILVA
2428.0,PEITO DE FRANGO S/OSSO KG,21.99,18.99,junto 4642/3234/4720,FRENTE,CARLOS ROBERTO PINTO
4775.0,CARNE SUINA PERNIL C/OSSO KG GRN,21.99,16.99,junto 3233/4475/3236,FRENTE,WELITON TREVISAN MIRANDA
3233.0,CARNE SUINA PERNIL C/OSSO FRESCO KG GRN,21.99,16.99,junto 4775/4475/3236,FRENTE,WELITON TREVISAN MIRANDA
4475.0,CARNE SUINA PALETA C/OSSO KG GRN,21.99,16.99,junto 4775/3233/3236,FRENTE,BENASSI
3236.0,CARNE SUINA PALETA COM OSSO FRESCO KG,21.99,16.99,junto 4775/3233/4475,FRENTE,CRISTIANO DOS SANTOS
2175.0,SOBRECOXA FRANGO KG GRN,14.99,9.99,,FRENTE,MIZAEL CORREA DA SILVA
166215.0,"DET.PO BRILHANTE LIMPEZA TOTAL 1,6KG",22.99,18.99,,,CARLOS ROBERTO PINTO
199326.0,DET.LIQ.SUPREMA NEUTRO 500ML,2.19,,"levando 6 ou mais pague 1,69  limite de 12 und",,LUIS EDUARDO DOS SANTOS GONCALVES
143288.0,AMAC.ROUPAS DOWNY BRISA DE VERAO 1L,28.99,22.99,,,OTAVIO FELIPE DE OLIVEIRA E SILVA
120943.0,LIMP.VEJA M.U.GOLD 10%DESC 500ML SQ,6.29,4.99,,,CARLOS ROBERTO PINTO
141212.0,AL.P/CAES DOG CHOW AD CARNE 100G SC,3.39,,"levando 6 ou mais pague 2,69 na und ",,CARLOS ROBERTO PINTO
137637.0,AL.P/GATOS FRISKIES CARNE MOLHO 85G SC,3.39,,"levando 6 ou mais pague 2,69 na und ",,LUIS EDUARDO DOS SANTOS GONCALVES
